1,7279,34
2,1869,74
3,4590,73
4,4086,49
5,11777,33
6,603,85
7,4670,83
8,1222,43
9,7545,25
10,4484,27
11,12350,69
12,8109,79
13,7309,51
14,3351,2
15,11883,13
16,52,96
17,806,46
18,9887,64
19,10324,35
20,2166,45
21,1356,19
22,2300,60
23,8619,54
24,10993,59
25,1830,30
26,10965,88
27,12279,84
28,1075,44
29,12270,54
30,2663,2
31,9060,46
32,8388,22
33,8661,16
34,7941,77
35,10522,81
36,11607,66
37,7230,41
38,526,9
39,8292,3
40,10679,6
41,3511,63
42,9791,73
43,8409,12
44,1293,28
45,2028,62
46,6894,67
47,12349,86
48,6117,16
49,6263,91
50,4947,77
51,1616,12
52,3444,94
53,12608,96
54,1281,70
55,8695,98
56,12441,71
57,416,8
58,8224,17
59,6725,74
60,8093,82
61,650,99
62,5016,87
63,9196,5
64,9264,2
65,3775,3
66,591,59
67,11470,6
68,1093,8
69,2513,100
70,7196,51
71,6832,19
72,4422,43
73,12140,85
74,10938,50
75,607,61
76,11204,16
77,10495,39
78,7773,50
79,8141,30
80,4936,41
81,9676,59
82,6566,52
83,5733,61
84,9391,23
85,9001,87
86,4093,70
87,6235,84
88,11607,93
89,4959,51
90,263,46
91,4360,42
92,2106,36
93,1323,12
94,12045,100
95,631,94
96,443,98
97,9909,60
98,8266,74
99,9726,25
100,6532,95
101,6513,80
102,1109,16
103,11390,24
104,10806,87
105,10255,58
106,4,40
107,11807,14
108,10048,93
109,93,100
110,7746,13
111,7281,94
112,9128,25
113,188,32
114,7909,67
115,8688,4
116,2790,48
117,2355,60
118,11283,61
119,6368,48
120,12505,54
121,3266,9
122,9046,24
123,4474,39
124,12232,59
125,5680,40
126,2143,39
127,4815,31
128,7331,40
129,10125,28
130,4761,56
131,4856,60
132,5987,16
133,7368,33
134,6491,71
135,10433,28
136,9045,52
137,2987,91
138,6434,34
139,2961,65
140,5587,83
141,10861,6
142,6002,11
143,10484,43
144,6802,99
145,11453,20
146,6660,32
147,7352,69
148,3089,55
