1,7621,Private flight,\N,-,N/A,,,Y
2,2959,135 Airways,\N,,GNL,GENERAL,United States,N
3,10095,1Time Airline,\N,1T,RNX,NEXTIME,South Africa,Y
4,1004,2 Sqn No 1 Elementary Flying Training School,\N,,WYT,,United Kingdom,N
5,8020,213 Flight Unit,\N,,TFU,,Russia,N
6,2510,223 Flight Unit State Airline,\N,,CHD,CHKALOVSK-AVIA,Russia,N
7,12113,224th Flight Unit,\N,,TTF,CARGO UNIT,Russia,N
8,2585,247 Jet Ltd,\N,,TWF,CLOUD RUNNER,United Kingdom,N
9,12785,3D Aviation,\N,,SEC,SECUREX,United States,N
10,7245,40-Mile Air,\N,Q5,MLA,MILE-AIR,United States,Y
11,5661,4D Air,\N,,QRT,QUARTET,Thailand,N
12,4897,611897 Alberta Limited,\N,,THD,DONUT,Canada,N
13,2019,Ansett Australia,\N,AN,AAA,ANSETT,Australia,Y
14,4600,Abacus International,\N,1B,,,Singapore,Y
15,8972,Abelag Aviation,\N,W9,AAB,ABG,Belgium,N
16,106,Army Air Corps,\N,,AAC,ARMYAIR,United Kingdom,N
17,13496,Aero Aviation Centre Ltd.,\N,,AAD,SUNRISE,Canada,N
18,7743,Aero Servicios Ejecutivos Internacionales,\N,,SII,ASEISA,Mexico,N
19,7743,Aero Biniza,\N,,BZS,BINIZA,Mexico,N
20,5357,Aero Albatros,\N,,ABM,ALBATROS ESPANA,Spain,N
21,8249,Aigle Azur,\N,ZI,AAF,AIGLE AZUR,France,Y
22,3301,Aloha Airlines,\N,AQ,AAH,ALOHA,United States,Y
23,13327,Alaska Island Air,\N,,AAK,ALASKA ISLAND,United States,N
24,9196,American Airlines,\N,AA,AAL,AMERICAN,United States,Y
25,9682,Aviation Management Corporation,\N,,AAM,AM CORP,United States,N
26,10093,Atlantis Airlines (USA),\N,,AAO,ATLANTIS AIR,United States,N
27,13091,Aerovista Airlines,\N,,AAP,AEROVISTA GROUP,United Arab Emirates,N
28,4178,Asiana Airlines,\N,OZ,AAR,ASIANA,Republic of Korea,Y
29,11720,Askari Aviation,\N,4K,AAS,AL-AAS,Pakistan,Y
30,11597,Australia Asia Airlines,\N,,AAU,AUSTASIA,Australia,N
31,7499,Astro Air International,\N,,AAV,ASTRO-PHIL,United States,N
32,5843,Afriqiyah Airways,\N,8U,AAW,AFRIQIYAH,Libya,Y
33,3900,Afrinat International Airlines,\N,Q9,AFU,,Gambia,N
34,13915,Afric'air Express,\N,,AAX,AFREX,Ivory Coast,N
35,11078,Allegiant Air,\N,G4,AAY,ALLEGIANT,United States,Y
36,14014,Angus Aviation,\N,,AAZ,ANGUS,Canada,N
37,5455,Artem-Avia,\N,,ABA,ARTEM-AVIA,Ukraine,N
38,10132,African Business and Transportations,\N,,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,5362,Aban Air,\N,K5,ABE,ABAN,Iran,n
40,4826,Aerial Oy,\N,,ABF,SKYWINGS,Finland,N
41,1333,Abakan-Avia,\N,,ABG,ABAKAN-AVIA,Russia,N
42,12676,ABSA - Aerolinhas Brasileiras,\N,M3,TUS,ABSA Cargo,Brazil,Y
43,6659,Abaet,\N,,ABJ,Abaet,Brazil,N
44,12655,Alberta Citylink,\N,,ABK,ALBERTA CITYLINK,Canada,N
45,13997,APSA Colombia,\N,,ABO,AEROEXPRESO,Colombia,N
46,5589,Aerovias Bueno,\N,,ABU,AEROBUENO,Colombia,N
47,13168,Aerocenter,\N,,ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,2705,Antrak Air,\N,4,ABV,ANTRAK,Ghana,N
49,8311,Airborne Express,\N,GB,ABX,ABEX,United States,N
50,8468,ABX Air,\N,GB,ABX,ABEX,United States,N
51,3538,ATA Brasil,\N,,ABZ,ATA-BRAZIL,Brazil,N
52,3304,Avcard Services,\N,,ACC,,United Kingdom,N
53,11387,Academy Airlines,\N,,ACD,ACADEMY,United States,N
54,459,Aero Comondu,\N,,ACO,AERO COMONDU,Mexico,N
55,8813,Astral Aviation,\N,8V,ACP,ASTRAL CARGO,Kenya,Y
56,13948,Air Cess,\N,,ACS,,Liberia,N
57,10974,Air Aurora,\N,,AAI,BOREALIS,United States,N
58,7634,Air Cargo Transportation System,\N,,ACU,AFRISPIRIT,Kenya,N
59,3973,Air Charter Service,\N,,ACV,,United Kingdom,N
60,10755,Aero Asia International,\N,E4,RSO,AERO ASIA,Pakistan,N
61,1135,Air Charters,\N,,ACX,PARAIR,Canada,N
62,5638,Air Togo,\N,YT,TGA,AIR TOGO,Togo,N
63,12063,Air Somalia,\N,,RSM,AIR SOMALIA,Somali Republic,N
64,3173,Atlas Cargo Lines,\N,,ACY,ATLAS CARGOLINES,Morocco,N
65,11479,Airservices Australia,\N,,ADA,AUSCAL,Australia,N
66,9373,Advance Leasing Company,\N,4G,,,United States,N
67,12094,Aztec Worldwide Airlines,\N,7A,,,United States,N
68,5458,Air Tindi,\N,8T,,,Canadian Territories,Y
69,4590,Antonov Airlines,\N,,ADB,ANTONOV BUREAU,Ukraine,N
70,1618,Air Atlantic Dominicana,\N,,ADC,ATLAN-DOMINICAN,Dominican Republic,N
71,9477,Advanced Air Co.,\N,,ADD,,Japan,N
72,10791,Ada Air,\N,ZY,ADE,ADA AIR,Albania,Y
73,1599,Aerea Flying Training Organization,\N,,ADG,AEREA TRAINING,Spain,N
74,4646,Audeli Air,\N,,ADI,AUDELI,Spain,N
75,5753,Abicar,\N,,ADJ,ABICAR,Ivory Coast,N
76,3245,ADC Airlines,\N,Z7,ADK,ADCO,Nigeria,N
77,1999,Aero Dynamics,\N,,ADL,COTSWOLD,United Kingdom,N
78,2721,Aerolineas Dominicanas,\N,,ADM,DOMINAIR,Dominican Republic,N
79,8117,Aerodienst GmbH,\N,,ADN,AERODIENST,Germany,N
80,8631,Aerodiplomatic,\N,,ADP,AERODIPLOMATIC,Mexico,N
81,9416,Aerodyne,\N,,ADY,AERODYNE,United States,N
82,10019,Avion Taxi,\N,,ADQ,AIR DATA,Canada,N
83,3795,Adria Airways,\N,JP,ADR,ADRIA,Slovenia,Y
84,6715,Aviones de Sonora,\N,,ADS,SONORAV,Mexico,N
85,4037,Air Dorval,\N,,ADT,AIR DORVAL,Canada,N
86,4407,Airdeal Oy,\N,,ADU,AIRDEAL,Finland,N
87,11339,Advance Air Charters,\N,,ADV,ADVANCE,Canada,N
88,11787,Air Andaman,\N,,ADW,AIR ANDAMAN,Thailand,N
89,3208,Anderson Aviation,\N,,ADX,ANDAX,United States,N
90,2623,Air Europa,\N,UX,AEA,EUROPA,Spain,Y
91,3476,Air Southwest Ltd.,\N,,ASW,AIRSOUTHWEST,Canada,N
92,7339,Air Special,\N,,ASX,AIRSPEC,Czech Republic,N
93,7747,Aero Benin,\N,EM,AEB,AEROBEN,Benin,Y
94,10684,Aerocesar,\N,,AEC, Aerovias Del Cesar,AEROCESAR,N
95,9061,Aerotrans Airlines,\N,,AED,,Russia,N
96,2702,Aegean Airlines,\N,A3,AEE,AEGEAN,Greece,Y
97,12739,Aerofumigaciones Sam,\N,,AEG,FUMIGACIONES SAM,Chile,N
98,1716,Aeroexpreso Interamericano,\N,,AEI,INTERAM,Colombia,N
99,3283,Air Express,\N,,AEJ,KHAKI EXPRESS,Tanzania,N
100,2688,Aerocon,\N,,AEK,AEROCON,Bolivia,N
101,13263,Aero Madrid,\N,,AEM,AEROMADRID,Spain,N
102,9300,Aeroenlaces Nacionales,\N,,AEN,,Mexico,N
