1,691
2,854
3,608
4,619
5,960
6,728
7,321
8,49
9,342
10,635
11,180
12,393
13,225
14,93
15,455
16,661
17,824
18,806
19,659
20,276
21,629
22,1025
23,137
24,66
25,559
26,62
27,103
28,715
29,491
30,761
31,408
32,991
33,323
34,142
35,436
36,643
37,185
38,947
39,209
40,427
41,54
42,935
43,620
44,211
45,480
46,335
47,262
48,726
49,44
50,915
51,800
52,36
53,808
54,364
55,2
56,321
57,316
58,7
59,422
60,349
61,690
62,284
63,89
64,673
65,203
66,744
67,449
68,612
69,44
70,945
71,941
72,172
73,46
74,733
75,846
76,608
77,1019
78,835
79,297
80,535
81,804
82,861
83,807
84,549
85,178
86,778
87,793
88,360
89,129
90,216
91,41
92,553
93,225
94,342
95,399
96,414
97,480
98,700
99,402
100,477
101,378
102,284
103,661
104,103
105,967
106,426
107,6
108,989
109,666
110,433
111,854
112,601
113,739
114,557
115,848
116,144
117,256
118,92
119,530
120,1036
121,620
122,169
123,274
124,468
125,300
126,966
127,176
128,573
129,265
130,981
131,8
132,748
133,137
134,109
135,495
136,177
137,833
138,159
139,364
140,295
141,941
142,112
143,242
144,271
145,468
146,490
147,422
148,633
149,698
150,932
151,317
152,147
153,22
154,936
155,30
156,889
157,329
158,913
159,600
160,405
161,282
162,431
163,81
164,133
165,167
166,54
167,273
168,777
169,744
170,193
171,134
172,743
173,522
174,630
175,969
176,103
177,118
178,1004
179,907
180,627
181,567
182,234
183,825
184,103
185,772
186,644
187,168
188,579
189,449
190,197
191,672
192,1004
193,21
194,624
195,889
196,309
197,360
198,900
199,22
200,1036
201,951
202,124
203,924
204,150
205,432
206,112
207,575
208,670
209,825
210,951
211,976
212,531
213,164
214,24
215,591
216,10
217,826
218,808
219,396
220,323
221,361
222,250
223,934
224,884
225,276
226,103
227,935
228,299
229,274
230,489
231,649
232,347
233,146
234,193
235,337
236,430
237,642
238,181
239,2
240,862
241,83
242,545
243,705
244,655
245,69
246,784
247,38
248,124
249,988
250,943
251,292
252,138
253,880
254,131
255,669
256,92
257,1027
258,1011
259,536
260,751
261,624
262,129
263,247
264,396
265,276
266,870
267,667
268,321
269,222
270,161
271,796
272,48
273,985
274,930
275,1021
276,860
277,997
278,596
279,293
280,264
281,434
282,780
283,201
284,104
285,102
286,505
287,754
288,160
289,408
290,952
291,115
292,330
293,61
294,733
295,604
296,702
297,150
298,920
299,587
300,1006
301,752
302,932
303,651
304,595
305,587
306,481
307,39
308,135
309,15
310,351
311,94
312,691
313,880
314,725
315,774
316,448
317,392
318,487
319,618
320,940
321,816
322,303
323,46
324,552
325,598
326,594
327,955
328,684
329,262
330,884
331,350
332,55
333,499
334,700
335,685
336,310
337,914
338,949
339,728
340,489
341,450
342,390
343,10
344,309
345,300
346,322
347,803
348,498
349,682
350,1005
351,849
352,640
353,428
354,514
355,407
356,248
357,684
358,627
359,879
360,341
361,985
362,305
363,292
364,139
365,894
366,393
367,304
368,311
369,63
370,327
371,462
372,72
373,126
374,576
375,869
376,358
377,765
378,784
379,271
380,172
381,371
382,55
383,1008
384,249
385,1037
386,895
387,979
388,64
389,639
390,801
391,484
392,490
393,25
394,105
395,330
396,909
397,57
398,313
399,243
400,351
401,802
402,84
403,887
404,95
405,842
406,595
407,149
408,49
409,149
410,582
411,658
412,806
413,830
414,192
415,77
416,777
417,866
418,779
419,748
420,157
421,327
422,1029
423,212
424,996
425,129
426,349
427,981
428,575
429,834
430,58
431,201
432,842
433,335
434,223
435,832
436,193
437,708
438,587
439,300
440,930
441,286
442,531
443,828
444,816
445,748
446,311
447,285
448,687
449,893
450,589
451,179
452,922
453,191
454,53
455,547
456,700
457,774
458,304
459,337
460,151
461,341
462,684
463,651
464,876
465,668
466,403
467,535
468,669
469,185
470,962
471,711
472,595
473,888
474,343
475,314
476,529
477,235
478,1024
479,81
480,1032
481,898
482,396
483,459
484,812
485,36
486,291
487,994
488,4
489,379
490,166
491,446
492,405
493,239
494,347
495,717
496,893
497,143
498,103
499,690
500,94
501,195
502,335
503,256
504,814
505,57
506,409
507,1020
508,487
509,822
510,502
511,571
512,231
513,965
514,146
515,951
516,633
517,136
518,271
519,90
520,694
521,509
522,336
523,711
524,15
525,101
526,939
527,685
528,1015
529,765
530,98
531,58
532,250
533,864
534,718
535,403
536,624
537,929
538,579
539,1011
540,989
541,288
542,64
543,585
544,355
545,474
546,83
547,745
548,657
549,940
550,514
551,782
552,235
553,990
